"","Ticker","Name","Trade Value","Liquidity","Category","Portfolio","Eff_Date","An_Date"
"29","ALE","Allete Inc","6.1319857055067573","0.70734211379154011","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"30","EPAY","Bottomline Technologies Inc","2.6649171714180744","0.57359130385269197","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"31","PMC","PharMerica Corp","3.4251171620740872","0.57291246232648185","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"32","MRCY","Mercury Systems Inc","0.65338113585352264","0.54707583173192531","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"33","UTI","Universal Technical Institute","0.25449438139893155","0.46859171015435819","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"34","PFS","Provident Financial Services","0.98703717903443744","0.43032408912920417","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"35","SJI","South Jersey Industries Inc","2.911219896072299","0.38714954357935966","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"36","INDB","Independent Bank Cp (MA)","0.80404654449651225","0.37131948514752638","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"37","CBR","CIBER Inc","0.22409575655878589","0.36494742420539772","Most Illiquid Net Buys","S&P 600",2014-12-19,2014-12-05
"61","PNC","PNC Finl Services Group","-134.69521792828252","-0.81911998385837692","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"71","ALL","Allstate Corp","-103.26241436388202","-0.79836762440495279","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"81","AN","AutoNation Inc","-23.967823290084048","-0.68030061572083589","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"91","HIG","Hartford Finl Services Group","-74.375540424789321","-0.65797005303366685","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"101","MSI","Motorola Solutions Inc","-67.414337235694049","-0.6375442821550491","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"111","NOC","Northrop Grumman Corp","-99.141316769219912","-0.59299702380731745","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"121","CB","Chubb Corp","-46.75814352906103","-0.56996048662097243","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"131","CAT","Caterpillar Inc","-222.71126908800557","-0.55992728983788942","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"141","XL","XL Group Plc","-27.988328359012115","-0.55779375464282654","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"151","L","Loews Corp","-21.668395843692632","-0.50185662155673028","Most Illiquid Net Sells","S&P 500",2014-12-19,2014-12-05
"171","WAFD","Washington Federal Inc.","-6.7441968610784091","-0.89803213421623262","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"181","LECO","Lincoln Electric Hldgs","-15.648881684873238","-0.72634333339783852","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"191","AHL","Aspen Insurance Holdings Ltd","-9.7704305462936301","-0.71766139914865501","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"201","ASH","Ashland Inc","-61.500884566978925","-0.69923489049893284","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"211","HCC","HCC Insurance Hldgs Inc","-10.816036111844815","-0.6830615227399387","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"221","DCI","Donaldson Co","-14.086446027595578","-0.64959210662154288","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"231","SFG","StanCorp Financial Group Inc","-7.6169037432375335","-0.64024850011162149","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"241","WOR","Worthington Industries Inc","-4.2755755593523794","-0.6221589855895534","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"251","MSCI","MSCI Inc","-17.825250046646687","-0.61687187856089953","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"261","CLGX","CoreLogic Inc.","-9.6151505013927245","-0.60170299353252932","Most Illiquid Net Sells","S&P 400",2014-12-19,2014-12-05
"281","ADC","Agree Realty Corp","-3.2660194065405066","-0.97843589896943339","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"291","WDFC","WD-40 Co","-1.5006940881256412","-0.61445287258848669","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"301","HLIT","Harmonic Inc","-1.6841403814776545","-0.60407937969861547","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"311","COLB","Columbia Banking System Inc","-3.3290826399123548","-0.57150798162649985","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"321","EXPO","Exponent Inc","-1.0318801823614918","-0.41300725669286487","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"331","TDY","Teledyne Technologies Inc","-6.541919430398945","-0.39091492652721843","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"341","ASGN","On Assignment Inc","-4.3079844647478662","-0.37982952004275006","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"351","MASI","Masimo Corp","-3.4590892236950204","-0.37334456614527395","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"361","SXC","SunCoke Energy Inc","-2.7726593359780054","-0.33206528045948286","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"371","ENS","Enersys","-4.4245154168883758","-0.31067058174360479","Most Illiquid Net Sells","S&P 600",2014-12-19,2014-12-05
"62","BRK/B","Berkshire Hathaway B","265.2661080529241","0.60663250604041119","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"72","MSFT","Microsoft Corp","203.59890274713976","0.14990076460473226","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"82","FB","Facebook Inc","190.48446729681891","0.10902335887003799","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"92","CSCO","Cisco Systems Inc","179.7945001592102","0.22210557293481767","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"102","GOOG","Google Inc C","175.08714125408272","0.21277321162434495","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"112","GE","General Electric Co","168.94450284770352","0.23710584981923596","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"122","VZ","Verizon Communications Inc","163.6419027731564","0.24780599819800497","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"132","GOOGL","Google Inc A","157.09144442398315","0.17527159458163266","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"142","PRGO","Perrigo Company plc","145.17760655193229","0.84300012603963204","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"152","AMGN","Amgen Inc","118.29551403445015","0.23151099110062281","Largest Net Buys by Trade Value","S&P 500",2014-12-19,2014-12-05
"172","SLG","SL Green Realty Corp","29.006339498085744","0.39186046559993981","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"182","O","Realty Income Corp","24.575378041591932","0.34248972014833479","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"192","CPT","Camden Property Trust","20.303912831024217","0.38768242470718267","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"202","FL","Foot Locker Inc","19.57998787326094","0.11904193292689663","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"212","UDR","UDR Inc","19.062797886022825","0.48443544978383091","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"222","RJF","Raymond James Financial Inc","18.474785457963499","0.68860732787230006","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"232","SWKS","Skyworks Solutions Inc","17.087572215409171","5.4054377830501675E-2","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"242","ARE","Alexandria Real Estate Eqty","17.029171810130382","0.50076818123265976","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"252","JLL","Jones Lang Lasalle Inc","15.644108590435227","0.40457213354502891","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"262","EQIX","Equinix Inc","14.984368977608341","0.12971277517916055","Largest Net Buys by Trade Value","S&P 400",2014-12-19,2014-12-05
"282","ALE","Allete Inc","6.1319857055067573","0.70734211379154011","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"292","TQNT","Triquint Semiconductor","4.4411108475343397","5.6930169125168406E-2","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"302","SKX","Skechers USA Inc A","4.0349620829886454","7.5622683673361057E-2","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"312","GEO","Geo Group Inc","3.8476577046839147","0.21150645974988877","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"322","MOH","Molina Healthcare","3.611470516962564","0.13802309525334183","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"332","PMC","PharMerica Corp","3.4251171620740872","0.57291246232648185","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"342","EXH","Exterran Holdings Inc","3.2102118160012445","6.5595215953996797E-2","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"352","CASY","Casey's General Stores Inc","3.1987300370669427","0.16511408734861727","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"362","AKRX","Akorn Inc","3.0443728147093054","5.1984788977702832E-2","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"372","EPR","EPR Properties","2.9712598974540079","0.14332240448810127","Largest Net Buys by Trade Value","S&P 600",2014-12-19,2014-12-05
"63","AAPL","Apple Inc.","-1259.0237274620033","-0.2377651310673814","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"73","INTC","Intel Corp","-315.1026942131719","-0.29189538423502243","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"83","YHOO","Yahoo Inc","-276.97119033980988","-0.23955071047525511","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"93","HD","Home Depot Inc","-227.2406930391777","-0.43706495100054643","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"103","CAT","Caterpillar Inc","-222.71126908800557","-0.55992728983788942","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"113","AIG","American Intl Group Inc","-142.8778600220663","-0.39329713629556878","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"123","MRK","Merck & Co Inc","-134.87844535686156","-0.25128611396320905","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"133","PNC","PNC Finl Services Group","-134.69521792828252","-0.81911998385837692","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"143","XOM","Exxon Mobil Corp","-134.58855504283724","-0.11310927236643363","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"153","FOXA","Twenty-First Century Fox, Inc","-118.22916358025194","-0.30397372064480194","Largest Net Sells by Trade Value","S&P 500",2014-12-19,2014-12-05
"173","ASH","Ashland Inc","-61.500884566978925","-0.69923489049893284","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"183","OII","Oceaneering Intl Inc","-29.518154985061095","-0.29733951451392671","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"193","TW","Towers Watson & Co","-18.952935709303723","-0.50126560680658372","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"203","MSCI","MSCI Inc","-17.825250046646687","-0.61687187856089953","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"213","RNR","RenaissanceRe Hldgs","-16.169047295782143","-0.43208391503455762","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"223","LECO","Lincoln Electric Hldgs","-15.648881684873238","-0.72634333339783852","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"233","DCI","Donaldson Co","-14.086446027595578","-0.64959210662154288","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"243","DST","DST Systems Inc","-12.573156684568863","-0.59043945015314903","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"253","SNV","Synovus Financial Corp (GA)","-12.519808673765905","-0.51638151540710919","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"263","WDR","Waddell & Reed Finl A","-11.321091800846713","-0.36717314121330186","Largest Net Sells by Trade Value","S&P 400",2014-12-19,2014-12-05
"283","TDY","Teledyne Technologies Inc","-6.541919430398945","-0.39091492652721843","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"293","MMS","MAXIMUS Inc","-5.7497971184104202","-0.29614808657935676","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"303","ENS","Enersys","-4.4245154168883758","-0.31067058174360479","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"313","ASGN","On Assignment Inc","-4.3079844647478662","-0.37982952004275006","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"323","OUTR","Outerwall Inc","-3.9685714811006294","-0.10065307379690319","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"333","DIN","DineEquity Inc","-3.9094637124770597","-0.19050492544644665","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"343","ALGT","Allegiant Travel Co","-3.6136285560331709","-0.18412343895009889","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"353","MASI","Masimo Corp","-3.4590892236950204","-0.37334456614527395","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"363","MANH","Manhattan Associates Inc","-3.3698505395365039","-0.2141602410497834","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"373","COLB","Columbia Banking System Inc","-3.3290826399123548","-0.57150798162649985","Largest Net Sells by Trade Value","S&P 600",2014-12-19,2014-12-05
"64","AVB","AvalonBay Communities Inc","102.74384488435149","0.74756420240233501","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"74","VZ","Verizon Communications Inc","201.18498854670057","0.38560714754516467","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"84","BRK/B","Berkshire Hathaway B","157.82534255909775","0.34317072967790879","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"94","BMY","Bristol-Myers Squibb","120.19063741227967","0.34249672310800477","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"104","LEN","Lennar Corp","34.77711755918191","0.33827406575658492","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"114","DHR","Danaher Corp","73.190190257881625","0.32610143970737993","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"124","CME","CME Group Inc","37.621087667622902","0.30320027276740696","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"134","ADBE","Adobe Systems Inc","54.312749116600415","0.30204507932591929","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"144","PM","Philip Morris International","106.9098231585526","0.29980733853473535","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"154","ACN","Accenture plc","74.457032084321767","0.29497370905111864","Most Illiquid Net Buys","S&P 500",2015-12-18,2015-12-04
"174","SFG","StanCorp Financial Group Inc","14.386745318948563","0.71640422419136562","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"184","TW","Towers Watson & Co","28.733935429965378","0.65494563425304808","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"194","BOH","Bank of Hawaii Corp","7.5584889014142149","0.65336157688699459","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"204","ORI","Old Republic Intl Corp","15.421580406305619","0.58208729961676264","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"214","WGL","WGL Holdings Inc","9.2296188808270685","0.57150067240465452","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"224","OGS","ONE Gas Inc","4.5155648676248212","0.53151937754653678","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"234","ACXM","Acxiom Corp","3.2776745291966636","0.51957378399305165","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"244","ROL","Rollins Inc","2.9502904366535492","0.49877507853470643","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"254","IBOC","Intl Bancshares Corp","2.5107388491939067","0.49368880832426926","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"264","ATR","AptarGroup Inc","7.6132578063440892","0.47425814114939324","Most Illiquid Net Buys","S&P 400",2015-12-18,2015-12-04
"284","FFIN","First Financial Bankshs (TX)","3.33363889029674","0.60722265800761588","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"294","CBR","CIBER Inc","0.23027409437142193","0.54917170493083445","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"304","ADC","Agree Realty Corp","1.2959845609236598","0.52263243614247179","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"314","EPAY","Bottomline Technologies Inc","2.3500662120328402","0.46348936882755037","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"324","SCHL","Scholastic Corp","2.5248630744295508","0.37150719229306844","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"334","PNFP","Pinnacle Financial","3.1251345451059422","0.35481933170197916","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"344","KELYA","Kelly Services A","0.42842568059421637","0.35054393397628208","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"354","EPR","EPR Properties","6.093125777569198","0.34653916368199816","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"364","HOMB","Home Bancshares","3.5408651465710421","0.33689240629740108","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"374","MCS","Marcus Corp","0.27825582162032486","0.33001545064971399","Most Illiquid Net Buys","S&P 600",2015-12-18,2015-12-04
"611","CSRA","CSRA Inc","-65.511504958540201","-0.87016512685609937","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"711","BF/B","Brown-Forman Corp B","-46.343638496221402","-0.78142974322260428","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"811","AIG","American Intl Group Inc","-371.68710947297421","-0.74526614987992146","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"911","TEL","TE Connectivity Ltd.","-104.52790868252607","-0.68928293656937645","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"1011","ABC","AmerisourceBergen Corp","-114.10347247440563","-0.64340154642500846","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"1111","L","Loews Corp","-24.018089536355788","-0.62141125449661616","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"1211","ALL","Allstate Corp","-87.396431509648522","-0.57630117739332798","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"1311","INTU","Intuit Inc","-132.59025405685091","-0.56454697459888081","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"1411","FOXA","Twenty-First Century Fox Inc A","-159.11484393502892","-0.55215739439901557","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"1511","AMP","Ameriprise Financial Inc","-52.489445697468028","-0.51358925747635265","Most Illiquid Net Sells","S&P 500",2015-12-18,2015-12-04
"1711","PRI","Primerica Inc","-10.406838815472199","-0.71368516271924576","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"1811","NEU","NewMarket Corp","-9.6497340913652536","-0.69755502775744382","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"1911","PLT","Plantronics Inc","-5.7385111657592809","-0.67680874439174266","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"2011","RNR","RenaissanceRe Hldgs","-14.725533950202596","-0.62941654046515194","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"2111","NTCT","Netscout Systems Inc","-11.260162427166314","-0.59788681139792343","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"2211","POL","PolyOne Corp","-9.1506480982107554","-0.5963238379666983","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"2311","MTX","Minerals Technologies Inc","-4.7674616526780174","-0.53387105833812198","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"2411","LECO","Lincoln Electric Hldgs","-12.009080567276328","-0.53218963766418881","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"2511","ESL","Esterline Technologies","-11.732131169999857","-0.5054391999386203","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"2611","GGG","Graco Inc","-9.1289669670889744","-0.50193686387478331","Most Illiquid Net Sells","S&P 400",2015-12-18,2015-12-04
"2811","DSPG","DSP Group","-0.27159771564673396","-0.84735948585214582","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"2911","BKMU","Bank Mutual Corp","-0.33442746058686768","-0.47510013811923524","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"3011","EVR","Evercore Partners A","-9.0213666689491454","-0.47114839919068652","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"3111","CW","Curtiss-Wright Corp","-5.985559518365509","-0.45211116765335196","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"3211","UEIC","Universal Electronics Inc","-2.2427605742420251","-0.41947625091352569","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"3311","TNC","Tennant Co","-1.333861926632903","-0.35352786044925655","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"3411","DEL","Deltic Timber","-0.88276363007154934","-0.34526150289980356","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"3511","ENS","Enersys","-4.7429044176950415","-0.34302883890342289","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"3611","PRSC","Providence Service","-1.4154958794530077","-0.28679278678787673","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"3711","AWR","American States Water Co","-1.3118692252071469","-0.27251684542538013","Most Illiquid Net Sells","S&P 600",2015-12-18,2015-12-04
"621","GE","General Electric Co","404.41964618829218","8.5025404695384763E-2","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"721","FB","Facebook Inc","313.59840639964227","0.1213028110620417","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"821","GOOGL","Alphabet Inc A","301.30390543714117","0.20165091914954625","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"921","GOOG","Alphabet Inc C","292.07863617692465","0.20795991948452766","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"1021","MSFT","Microsoft Corp","271.05263322884491","0.13910944584662754","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"1121","AMZN","Amazon.com Inc","262.0312579395665","8.6279229999961876E-2","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"1221","PFE","Pfizer Inc","224.73462273555441","0.1540409977547291","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"1321","VZ","Verizon Communications Inc","201.18498854670057","0.38560714754516467","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"1421","JNJ","Johnson & Johnson","168.56605279979999","0.24161964137097153","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"1521","BRK/B","Berkshire Hathaway B","157.82534255909775","0.34317072967790879","Largest Net Buys by Trade Value","S&P 500",2015-12-18,2015-12-04
"1721","JAH","Jarden Corp","31.498694443792004","0.26442829659040773","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
"1821","TW","Towers Watson & Co","28.733935429965378","0.65494563425304808","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
"1921","ORI","Old Republic Intl Corp","15.421580406305619","0.58208729961676264","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
"2021","FLO","Flowers Foods Inc","14.794578154816005","0.34322687510136396","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
"2121","INGR","Ingredion Inc","14.53308750648144","0.42437578480071475","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
"2221","SFG","StanCorp Financial Group Inc","14.386745318948563","0.71640422419136562","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
"2321","CASY","Casey's General Stores Inc","13.59198963467027","0.39009086336756604","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
"2421","POST","Post Holdings Inc.","13.516870107254196","0.27912341035217347","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
"2521","ATO","Atmos Energy Corp","12.660536182832569","0.37008832310650441","Largest Net Buys by Trade Value","S&P 400",2015-12-18,2015-12-04
